編號,專案,日期,月,日,星期,是否假日,時長,機位數量,工作性質,花絮,視訊切換,視訊連線,PA音控,大場分小場,導播人數,攝影人數,音控人數,直播人數,機動人數,花絮人數,視訊切換人數,視訊連線人數,人數
49,敦新科技 現場單機錄製(新竹),2024/3/13,3,13,3,0,5.5,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
50,中小企業(進場),2024/3/14,3,14,4,0,7.5,1,進場,0,1,0,1,0,0,1,1,0,1,0,1,0,4
51,中小企業,2024/3/15,3,15,5,0,8.5,1,錄製,0,1,0,1,0,0,1,1,0,1,0,1,0,4
52,影響力量公關 2,2024/3/16,3,16,6,1,3,0,直播,0,0,1,0,0,0,0,0,1,0,0,0,2,3
53,今周刊 x 2024 ESG永續台灣第四屆國際高峰會（進）,2024/3/17,3,17,7,1,5.5,3,進場,0,0,0,0,0,1,2,0,1,0,0,0,0,4
54,今周刊 x 2024 ESG永續台灣第四屆國際高峰會,2024/3/18,3,18,1,0,10.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
55,摩奇 x 台英記者會,2024/3/20,3,20,3,0,8,1,直播,0,1,1,0,0,0,1,0,1,0,0,1,2,5
56,盛齊綠能,2024/3/21,3,21,4,0,7,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
57,DT x AWS 韌性製造峰會 雲地聯防即戰力 重塑智慧供應鏈,2024/3/27,3,27,3,0,10,3,錄製,0,0,0,0,0,1,2,2,0,0,0,0,0,5
58,DT x AWS 智慧零售論壇,2024/3/28,3,28,4,0,9,3,錄製,0,0,0,0,1,3,0,0,0,3,0,0,0,6
59,中信 X 遠見,2024/3/28,3,28,4,0,8,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
60,BN x 新商業學校,2024/3/30,3,30,6,1,8.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
61,風紅企劃影片,2024/4/11,4,11,4,0,5,2,錄製,0,0,0,0,0,0,0,0,0,6,0,0,0,6
62,兒童健康聯盟 @單機視訊連線,2024/4/13,4,13,6,1,5.5,2,直播,0,0,1,0,0,1,2,0,1,0,0,0,0,4
63,艾利諾 x 阿里巴巴D1,2024/4/17,4,17,3,0,9,2,直播,0,0,0,0,0,0,1,0,1,2,0,0,0,4
64,艾利諾 x 阿里巴巴D2,2024/4/18,4,18,4,0,9,2,直播,0,0,0,0,0,0,1,0,1,2,0,0,0,4
65,艾利諾 x 阿里巴巴D3,2024/4/19,4,19,5,0,9,2,直播,0,0,0,0,0,0,1,0,1,2,0,0,0,4
66,艾利諾 x 阿里巴巴D4,2024/4/20,4,20,6,1,9,2,直播,0,0,0,0,0,0,1,0,1,2,0,0,0,4
67,影響力公關 _ 2024 CRM 共病照護系列會議,2024/4/21,4,21,7,1,7.5,1,直播,0,1,1,1,0,0,1,1,1,0,0,1,0,4
68,5% Design Action世界地球日 現場三機直播(FB+YT+UDN)D1,2024/4/22,4,22,1,0,9.5,4,直播,0,0,0,0,0,1,4,1,1,0,0,0,0,7
69,5% Design Action世界地球日 現場三機直播(FB+YT+UDN)D2,2024/4/23,4,23,2,0,9.5,4,直播,0,0,0,0,0,1,3,1,1,0,0,0,0,6
70,今周刊雙機直播（進場）,2024/4/23,4,23,2,0,5,3,進場,0,0,0,0,0,0,2,1,1,0,0,0,0,4
71,今周刊雙機直播+雙單機直播,2024/4/24,4,24,3,0,9,4,直播,0,0,0,0,0,1,3,1,1,0,0,0,0,6
72,康泰 棚內單機視訊連線錄製,2024/4/21,4,21,7,1,3,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,1,3
73,BN _新商業論壇＠單機視訊連線（進場）,2024/4/24,4,24,3,0,2,1,進場,0,1,1,0,0,0,0,1,0,0,0,0,1,2
74,BN _新商業論壇＠單機視訊連線（正式）,2024/4/25,4,25,4,0,5,1,直播,0,1,1,0,0,0,1,1,0,0,0,0,1,3
75,野村資產管理日本投資展望說明會,2024/4/25,4,25,4,0,4.5,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
76,康泰 棚內單機視訊連線錄製 1,2024/4/28,4,28,7,1,4,1,錄製,0,0,1,0,0,0,1,1,0,0,0,0,1,3
77,康泰 棚內單機視訊連線錄製 2,2024/4/29,4,29,1,0,2,1,錄製,0,0,1,0,0,0,1,1,0,0,0,0,1,3
78,康泰 棚內單機視訊連線錄製 3,2024/4/29,4,29,1,0,2.3,1,錄製,0,0,1,0,0,0,1,1,0,0,0,0,1,3
79,台大人口中心＠視訊連線,2024/5/3,5,3,5,0,9.5,0,直播,0,0,1,0,0,0,0,0,1,0,0,0,2,3
80,陽明交大 x 台印水環境論壇@現場雙擊視訊會議連線,2024/5/8,5,8,3,0,10,3,直播,0,1,1,0,0,1,2,0,1,0,0,1,0,5
81,DT x 貿澤 @現場單機直播,2024/5/9,5,9,4,0,8.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
82,TCA x @雙機直播(進場),2024/5/13,5,13,1,0,4,3,進場,0,0,0,0,0,0,0,0,0,4,0,0,0,4
83,TCA x @雙機直播,2024/5/14,5,14,2,0,5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
84,BN新商業學校＠單機直播,2024/5/14,5,14,2,0,6.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
85,包你發娛樂城,2024/5/15,5,15,3,0,6,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
86,伯浩 棚內單機直播,2024/5/17,5,17,5,0,3,1,直播,0,0,0,1,0,0,1,1,1,0,0,0,0,3
87,博思 x SYM 現場三機直播(第一段),2024/5/21,5,21,2,0,6.5,4,直播,0,0,0,0,0,1,4,1,1,0,0,0,0,7
88,博思 x SYM 現場單機直播(第二段),2024/5/21,5,21,2,0,6.5,1,直播,0,0,0,0,0,0,1,1,1,2,0,0,0,5
89,台灣高鐵股東會,2024/5/23,5,23,4,0,3,0,直播,0,0,0,0,0,0,0,0,1,1,0,0,0,2
90,台北文創 x 名家會客室,2024/5/24,5,24,5,0,7,2,直播,0,0,0,0,0,1,2,0,1,0,0,0,0,4
91,影響力 - APME online workshop@全線上直播,2024/5/25,5,25,6,1,7,0,直播,0,0,1,0,0,0,0,0,1,0,0,0,2,3
92,康泰 兩岸視訊研討會,2024/5/25,5,25,6,1,9,0,直播,0,0,0,0,0,0,0,0,2,0,0,0,0,2
93,向夏 x 是德科技 棚內單機錄製,2024/5/29,5,29,3,0,2,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
94,美好證券 現場單機直播,2024/5/30,5,30,4,0,9,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
95,innovex測試,2024/5/30,5,30,4,0,2,1,直播,0,0,0,0,0,0,1,0,2,0,0,0,0,3
96,innovex進場-Pi舞台,2024/6/3,6,3,1,0,6,1,進場,0,0,0,0,0,0,0,0,0,2,0,0,0,2
97,innovex進場-Center舞台,2024/6/3,6,3,1,0,8,3,進場,0,0,0,0,0,1,0,0,0,3,0,0,0,4
98,今周刊 1,2024/6/4,6,4,2,0,9,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
99,innovex-Pi舞台D1,2024/6/4,6,4,2,0,8.5,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
100,innovex-Center舞台D1,2024/6/4,6,4,2,0,9,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
101,圓桌會議進場,2024/6/4,6,4,2,0,3,4,進場,0,0,0,0,0,0,0,0,0,4,0,0,0,4
102,圓桌會議,2024/6/5,6,5,3,0,9,4,直播,0,0,0,0,0,1,3,1,1,0,0,1,0,7
103,數位發展部,2024/6/5,6,5,3,0,8,1,直播,0,0,1,0,0,0,1,1,1,0,0,0,0,3
104,innovex-Pi舞台D2,2024/6/5,6,5,3,0,8,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
105,innovex-Center舞台D2,2024/6/5,6,5,3,0,9,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
106,innovex-Pi舞台D3,2024/6/6,6,6,4,0,7.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
107,innovex-Center舞台D3,2024/6/6,6,6,4,0,9,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
108,角川_百萬小說競賽,2024/6/6,6,6,4,0,5.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
109,innovex-Pi舞台D4,2024/6/7,6,7,5,0,7.5,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
110,innovex-Center舞台D4,2024/6/7,6,7,5,0,8.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
111,利眾撤場,2024/6/11,6,11,2,0,3.5,6,進場,0,0,0,0,0,0,0,0,0,3,0,0,0,3
112,ASML進場,2024/6/12,6,12,3,0,12,3,進場,1,1,1,1,0,1,2,1,0,1,1,1,1,8
113,ASML,2024/6/12,6,12,3,0,12,3,直播,1,1,1,1,0,1,3,1,0,1,1,1,1,9
114,智譽進場-台北,2024/6/15,6,15,6,1,5.5,2,進場,1,1,1,0,0,0,0,0,0,3,0,0,0,3
115,智譽進場-高雄,2024/6/15,6,15,6,1,3.5,2,進場,1,0,1,0,0,0,1,1,0,0,1,0,1,4
116,智譽進場-台中,2024/6/15,6,15,6,1,3.5,2,進場,1,0,1,0,0,0,1,1,0,0,1,0,1,4
117,智譽-台北,2024/6/16,6,16,7,1,5.5,2,直播,1,1,1,0,0,0,1,0,0,0,1,1,1,4
118,智譽-高雄,2024/6/16,6,16,7,1,6,2,直播,1,0,1,0,0,0,1,1,0,0,1,0,1,4
119,智譽-台中,2024/6/16,6,16,7,1,6,2,直播,1,0,1,0,0,0,1,1,0,0,1,0,1,4
120,DT 映陽,2024/6/18,6,18,2,0,9.5,3,錄製,0,0,0,0,0,1,1,1,0,0,0,0,0,3
121,是德進場,2024/6/19,6,19,3,0,4,3,進場,1,1,1,1,1,0,0,0,0,6,0,0,0,6
122,是德年會,2024/6/20,6,20,4,0,10.5,4,直播,1,1,1,1,1,1,4,7,0,1,1,0,0,14
123,圓球,2024/6/19,6,19,3,0,6,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
124,可可達單機轉播,2024/6/20,6,20,4,0,5,1,錄製,0,0,0,0,0,0,1,0,0,0,0,0,0,1
125,DT AWS,2024/6/20,6,20,4,0,8,1,直播,0,0,0,0,0,0,1,1,1,1,0,0,0,4
126,中小企業進場,2024/6/20,6,20,4,0,10.5,3,進場,0,1,0,1,0,0,0,0,0,4,0,0,0,4
127,中小企業,2024/6/21,6,21,5,0,9,3,錄製,0,1,0,1,0,0,1,1,0,1,0,1,0,4
128,今周刊進場,2024/6/25,6,25,2,0,4,3,進場,0,1,0,1,0,0,1,1,2,0,0,1,0,5
129,今周刊 2,2024/6/26,6,26,3,0,10,3,直播,0,1,0,1,0,1,2,1,2,0,0,1,0,7
130,盛齊綠能,2024/6/28,6,28,5,0,9.5,1,直播,1,0,0,0,0,0,1,1,1,0,0,0,0,3
