編號,專案,日期,月,日,星期,是否假日,時長,機位數量,工作性質,花絮,視訊切換,視訊連線,PA音控,大場分小場,導播人數,攝影人數,音控人數,直播人數,機動人數,花絮人數,視訊切換人數,視訊連線人數,人數
210,卓冠,2024/9/12,9,12,4,0,7,1,直播,0,0,0,0,0,0,1,1,1,1,0,0,0,4
211,BN,2024/9/13,9,13,5,0,5.5,2,直播,1,0,1,0,0,0,1,1,1,1,0,0,0,4
212,光洋,2024/9/13,9,13,5,0,11.5,1,錄製,0,1,0,0,0,0,1,0,0,0,0,1,0,2
213,庫泊,2024/9/14,9,14,6,1,10,3,直播,0,0,0,0,0,1,3,1,1,1,0,0,0,7
214,環境部D1,2024/9/16,9,16,1,0,4.5,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
215,Datavideo測試,2024/9/16,9,16,1,0,2,0,進場,0,0,0,0,0,0,0,0,0,2,0,0,0,2
216,萊麗測試,2024/9/16,9,16,1,0,1.5,1,進場,0,0,0,0,0,0,0,0,0,3,0,0,0,3
217,科技新報,2024/9/18,9,18,3,0,3,1,錄製,0,0,0,0,0,0,2,1,0,0,0,0,0,3
218,圓桌進場,2024/9/18,9,18,3,0,5.5,3,進場,0,1,0,0,0,0,0,0,2,2,0,1,0,5
219,圓桌Day1,2024/9/19,9,19,4,0,9,3,直播,0,1,0,0,0,1,2,0,2,0,0,1,0,6
220,鉅亨網,2024/9/19,9,19,4,0,7.5,3,直播,1,0,0,1,0,1,3,1,1,1,1,0,0,8
221,萊茵Day1,2024/9/19,9,19,4,0,8.5,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
222,圓桌Day2,2024/9/20,9,20,5,0,7.5,3,直播,0,1,0,0,0,1,2,0,2,0,0,1,0,6
223,今周刊2,2024/9/20,9,20,5,0,8,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
224,萊茵Day2,2024/9/20,9,20,5,0,8.5,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
225,台大人口中心,2024/9/20,9,20,5,0,2.5,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
226,庫泊 企業橄欖球聯賽開幕,2024/9/21,9,21,6,1,5.5,3,直播,0,0,0,0,0,1,3,1,1,0,0,0,0,6
227,天下雜誌進場,2024/9/23,9,23,1,0,4.5,3,進場,0,1,0,1,0,0,1,1,0,1,0,1,1,5
228,安聯錄製+推流,2024/9/23,9,23,1,0,6,1,錄製,0,0,0,0,0,1,1,0,1,0,0,0,0,3
229,天下雜誌,2024/9/24,9,24,2,0,10,3,錄製,0,1,0,1,0,1,2,1,0,1,0,1,0,6
230,環境部D2,2024/9/25,9,25,3,0,3.5,1,直播,1,0,0,0,0,0,1,1,1,0,0,0,0,3
231,DT x ST,2024/9/25,9,25,3,0,8,1,直播,0,1,0,0,0,0,1,0,2,0,0,1,0,4
232,卓冠 x 萊麗,2024/9/26,9,26,4,0,7.5,3,錄製,0,1,0,0,0,1,2,1,0,1,0,1,0,6
233,今周刊進場,2024/9/26,9,26,4,0,4,3,進場,0,0,0,0,0,0,1,0,1,1,0,0,0,3
234,今周刊3,2024/9/27,9,27,5,0,11,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
235,凱基單機錄製,2024/9/27,9,27,5,0,2,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
236,庫泊橄欖球聯賽,2024/9/28,9,28,6,1,4.5,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
237,吉時洋行,2024/9/28,9,28,6,1,8,3,直播,0,1,1,0,0,1,2,0,1,1,0,1,1,7
238,MERZ2,2024/9/30,9,30,1,0,4.5,1,錄製,0,0,0,0,0,0,0,1,0,2,0,0,0,3
239,MERZ,2024/10/1,10,1,2,0,7,1,錄製,0,0,0,1,0,0,1,1,0,1,0,0,0,3
240,英飛凌燈光,2024/10/1,10,1,2,0,2,0,錄製,0,0,0,0,0,0,0,0,0,2,0,0,0,2
241,數位時代 X Cyberbiz,2024/10/1,10,1,2,0,8.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
242,磅礡行銷,2024/10/4,10,4,5,0,9,1,錄製,1,0,0,0,0,0,1,1,0,1,1,0,0,4
243,BN x 新商業學校,2024/10/8,10,8,2,0,9,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
244,AWS全球開店,2024/10/9,10,9,3,0,8,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
245,弈樂,2024/10/9,10,9,3,0,10,3,直播,0,0,0,0,0,1,2,1,1,1,0,0,0,6
246,庫泊,2024/10/12,10,12,6,1,4,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
247,AWS進場,2024/10/14,10,14,1,0,4,3,進場,0,0,0,0,1,0,0,3,0,1,0,0,0,4
248,AWS,2024/10/15,10,15,2,0,9.5,3,錄製,0,0,0,0,1,1,2,3,0,0,0,0,0,6
249,聯發科,2024/10/15,10,15,2,0,4,1,直播,0,0,1,0,0,0,1,1,0,0,0,0,1,3
250,TIFF進場,2024/10/15,10,15,2,0,5,3,進場,1,1,1,1,0,1,1,1,1,0,0,1,0,5
251,TCA x 未來科技展進場,2024/10/16,10,16,3,0,4,3,進場,0,0,0,0,0,1,1,1,1,1,0,0,0,5
252,TIFF,2024/10/16,10,16,3,0,10,3,直播,1,1,1,1,0,1,3,1,1,2,1,1,1,11
253,TCA x 未來科技館D1,2024/10/17,10,17,4,0,8,3,直播,0,0,0,0,0,1,3,1,1,1,0,0,0,7
254,TCA x 未來科技館D2,2024/10/18,10,18,5,0,8,3,直播,0,0,0,0,0,1,3,2,1,1,0,0,0,8
255,TCA x 未來科技館D3,2024/10/19,10,19,6,1,8,3,直播,0,0,0,0,0,1,3,1,1,0,0,0,0,6
256,庫泊 橄欖球,2024/10/19,10,19,6,1,5,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
257,BN x 工研院 進場,2024/10/21,10,21,1,0,5,3,進場,0,0,0,0,0,0,2,1,1,0,0,0,0,4
258,BN x 工研院,2024/10/22,10,22,2,0,5,3,直播,1,0,0,0,0,1,2,1,1,0,1,0,0,6
259,TWINC進場,2024/10/22,10,22,2,0,4,3,進場,0,0,1,0,0,0,0,1,1,1,0,0,1,4
260,ASML進場,2024/10/23,10,23,3,0,6,3,進場,0,0,0,1,0,0,0,1,0,3,0,0,0,4
261,TWINC,2024/10/23,10,23,3,0,9.5,3,直播,0,0,1,0,0,1,2,1,1,0,0,0,1,6
262,ASML,2024/10/24,10,24,4,0,9.5,3,直播,0,1,0,1,0,1,3,1,1,1,0,1,0,8
263,DT單錄,2024/10/25,10,25,5,0,7.5,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
264,DT x 新唐,2024/10/25,10,25,5,0,6,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
265,庫泊橄欖球企業聯賽,2024/10/26,10,26,6,1,7.5,3,直播,0,0,0,0,0,1,3,0,1,0,0,0,0,5
266,科技新報 x 工研院 專案影片,2024/10/28,10,28,1,0,4.5,2,錄製,0,0,0,0,0,0,2,0,0,3,0,0,0,5
267,庫泊橄欖球全國聯賽,2024/10/27,10,27,7,1,10.5,3,直播,0,0,0,0,0,1,3,0,1,1,0,0,0,6
268,DT x AWS 棚內錄製D1,2024/10/28,10,28,1,0,8,1,錄製,0,0,0,0,0,0,1,1,1,0,0,0,0,3
269,科技新報D1,2024/10/28,10,28,1,0,6,2,錄製,0,0,0,0,0,0,2,0,0,3,0,0,0,5
270,DT x AWS 棚內錄製D2,2024/10/29,10,29,2,0,8,1,錄製,0,0,0,0,0,0,1,1,1,0,0,0,0,3
271,科技新報D2,2024/10/29,10,29,2,0,5,2,錄製,0,0,0,0,0,0,2,0,0,3,0,0,0,5
272,科技新報D3,2024/10/30,10,30,3,0,5,2,錄製,0,0,0,0,0,0,2,0,0,3,0,0,0,5
273,就是設計,2024/10/30,10,30,3,0,5.5,1,錄製,0,0,0,0,0,0,1,2,0,0,0,0,0,3
274,新商業學校,2024/10/31,10,31,4,0,4.5,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
275,金融展 主舞台進場,2024/10/31,10,31,4,0,9.5,3,進場,0,0,0,0,0,1,1,1,1,0,0,0,0,4
276,金融展 創新舞台進場,2024/10/31,10,31,4,0,9.5,1,進場,0,0,1,0,0,0,0,0,0,1,0,0,1,2
277,金融展 二樓舞台進場,2024/10/31,10,31,4,0,9.5,1,進場,0,0,1,0,0,0,0,0,0,1,0,0,1,2
278,金融展 人才舞台進場,2024/10/31,10,31,4,0,9.5,1,進場,0,0,0,0,0,0,0,1,0,0,0,0,1,2
279,KOL行動導覽,2024/10/31,10,31,4,0,9.5,1,進場,0,0,0,0,0,0,0,0,0,2,0,0,0,2
280,FinTech金融展 KOL移動直播,2024/11/1,11,1,5,0,3,1,直播,0,0,0,0,0,0,1,0,0,2,0,0,0,3
281,金融展 主舞台D1,2024/11/1,11,1,5,0,10,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
282,金融展 創新舞台D1,2024/11/1,11,1,5,0,10,1,錄製,0,0,1,0,0,0,1,1,0,0,0,0,1,3
283,金融展 二樓舞台D1,2024/11/1,11,1,5,0,10,1,錄製,0,0,1,0,0,0,1,1,0,0,0,0,1,3
284,金融展 人才舞台D1,2024/11/1,11,1,5,0,10,1,錄製,0,0,0,0,0,0,1,2,0,0,0,0,0,3
285,圓球,2024/11/1,11,1,5,0,4.5,1,直播,0,0,0,0,0,0,1,1,1,1,0,0,0,4
286,金融展 主舞台D2,2024/11/2,11,2,6,1,7,3,錄製,0,0,0,0,0,1,2,1,0,0,0,0,0,4
287,金融展 創新舞台D2,2024/11/2,11,2,6,1,8,1,錄製,0,0,1,0,0,0,1,1,0,0,0,0,1,3
288,金融展 二樓舞台D2,2024/11/2,11,2,6,1,8,1,錄製,0,0,1,0,0,0,1,1,0,0,0,0,1,3
289,金融展 人才舞台D2,2024/11/2,11,2,6,1,8,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
290,科技新報D4,2024/11/4,11,4,1,0,10,2,錄製,0,0,0,0,0,0,2,0,0,2,0,0,0,4
291,環境部1,2024/11/4,11,4,1,0,7,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
292,今周刊進場,2024/11/4,11,4,1,0,7,3,進場,0,0,0,0,0,1,1,1,1,0,0,0,0,4
293,聯發科,2024/11/4,11,4,1,0,4,2,直播,0,0,1,0,0,1,2,1,1,0,0,0,0,5
294,今周刊,2024/11/5,11,5,2,0,8.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
295,DT x 台衫,2024/11/5,11,5,2,0,8,3,錄製,0,0,0,0,0,1,2,2,0,0,0,0,0,5
296,DT x AWS 亞馬遜全球開店進場,2024/11/5,11,5,2,0,2.5,3,進場,0,0,0,0,1,0,0,1,1,2,0,0,0,4
297,DT x AWS 亞馬遜全球開店,2024/11/6,11,6,3,0,11,3,直播,0,0,0,0,1,1,2,3,1,0,0,0,0,7
298,中小企業進場,2024/11/7,11,7,4,0,6.5,1,進場,0,1,0,1,0,0,0,1,0,2,0,1,0,4
299,好樂 x EMMA,2024/11/7,11,7,4,0,8,3,直播,0,0,0,1,0,1,3,1,1,0,0,0,0,6
300,中小企業,2024/11/8,11,8,5,0,7.5,1,錄製,0,1,0,1,0,0,1,1,0,1,0,1,0,4
301,環境部2,2024/11/8,11,8,5,0,6,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
302,太極拳進場,2024/11/8,11,8,5,0,7,6,進場,0,0,0,0,0,1,3,1,1,0,0,0,0,6
303,太極拳D1,2024/11/9,11,9,6,1,10,6,直播,0,0,0,0,0,1,3,1,1,2,0,0,0,8
304,庫泊橄欖球,2024/11/9,11,9,6,1,5,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
305,太極拳D2,2024/11/10,11,10,7,1,10,6,直播,0,0,0,0,0,1,3,1,1,2,0,0,0,8
306,環境部3,2024/11/11,11,11,1,0,4,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
307,工研院進場,2024/11/13,11,13,3,0,12,2,進場,0,0,1,0,1,0,0,0,1,1,0,0,4,6
308,工研院彩排,2024/11/14,11,14,4,0,6,2,直播,0,0,1,1,1,3,1,0,1,0,0,0,6,11
309,科技新報,2024/11/14,11,14,4,0,7,3,直播,1,0,0,0,0,1,2,1,1,1,1,0,0,7
310,工研院 Cross-Board Startup Pitch Event,2024/11/15,11,15,5,0,4.5,2,直播,0,0,1,1,1,3,1,0,1,0,0,0,7,12
311,今周刊進場1,2024/11/15,11,15,5,0,4,4,進場,0,0,0,0,0,0,0,1,2,1,0,0,0,4
312,今周刊 總統與青年論壇,2024/11/16,11,16,6,1,8,4,直播,0,0,0,0,0,1,4,1,1,0,0,0,0,7
313,橄欖球,2024/11/16,11,16,6,1,5,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
314,神通五十週年,2024/11/18,11,18,1,0,9.5,2,錄製,1,1,0,0,0,0,0,0,0,0,2,3,0,5
315,回應氣候變遷績效指標CCPI_記者會,2024/11/20,11,20,3,0,4.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
316,今周刊 嘉義論壇,2024/11/20,11,20,3,0,9,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
317,VIVO手機發表會,2024/11/21,11,21,4,0,6.5,3,直播,1,0,0,0,0,1,2,1,1,0,1,0,0,6
318,中華人文發展服務協會 進場,2024/11/21,11,21,4,0,7,1,進場,0,0,1,1,0,0,0,1,0,0,0,0,1,2
319,達豐現場單錄 1,2024/11/21,11,21,4,0,4.5,1,錄製,0,0,0,0,0,0,1,0,0,2,0,0,0,3
320,BN x 高通現場單機直播 進場,2024/11/21,11,21,4,0,4.5,1,進場,0,0,0,0,0,0,0,1,1,1,0,0,0,3
321,OPPO手機發表會,2024/11/22,11,22,5,0,6.5,3,直播,1,0,0,0,0,1,2,1,1,0,0,0,0,5
322,2024高通台灣創新競賽決賽暨頒獎典禮,2024/11/22,11,22,5,0,5.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
323,中華人文發展服務協會,2024/11/22,11,22,5,0,9.5,1,直播,0,0,1,1,0,0,1,1,1,0,0,0,1,4
324,達豐現場單錄 2,2024/11/23,11,23,6,1,4,1,錄製,0,0,0,0,0,0,1,0,0,2,0,0,0,3
325,庫泊 橄欖球,2024/11/24,11,24,7,1,5,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
326,先勢公關 現場三機直播,2024/11/26,11,26,2,0,9,4,直播,0,1,0,0,0,1,3,1,1,2,0,1,0,9
327,DT 藍芽趨勢研討會,2024/11/27,11,27,3,0,8,0,直播,0,1,1,0,0,0,0,0,1,0,0,0,1,2
328,英飛凌單機錄製,2024/11/28,11,28,4,0,3,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
329,清大單機視訊進場,2024/11/28,11,28,4,0,9,2,進場,0,1,1,0,1,0,0,0,2,0,0,2,1,5
330,MVP經理人頒獎典禮,2024/11/28,11,28,4,0,7,4,直播,0,0,0,0,0,1,3,1,1,1,0,0,0,7
331,清大單機視訊,2024/11/29,11,29,5,0,9.5,2,直播,0,1,1,0,0,0,2,0,2,0,0,2,1,7
332,庫泊 x 企業橄欖球聯賽,2024/11/30,11,30,6,1,6.5,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
333,影響力公關 APEM,2024/11/30,11,30,6,1,8,0,直播,0,0,1,0,0,0,0,0,1,0,0,0,2,3
334,野村投信 現場單機簡報攝製,2024/12/4,12,4,3,0,4,1,錄製,0,1,0,0,0,0,1,1,0,0,0,1,0,3
335,弈樂 x 包你發,2024/12/4,12,4,3,0,8,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
336,高星測試,2024/12/5,12,5,4,0,5,1,直播,0,1,1,0,0,0,0,0,1,0,0,1,1,3
337,庫泊 橄欖球企業聯賽,2024/12/7,12,7,6,1,10,5,直播,0,0,0,0,0,1,4,1,1,1,0,0,0,8
338,影響力 TSN醫學研討會,2024/12/8,12,8,7,1,4.5,1,直播,0,1,1,1,0,0,1,1,0,0,0,1,1,4
339,BN x 台哥大,2024/12/9,12,9,1,0,7,2,錄製,1,0,0,0,0,0,1,1,0,1,1,0,0,4
340,「進場」今周刊 x 智見金屬產業新未來論壇,2024/12/9,12,9,1,0,9,3,進場,0,0,0,0,0,1,1,1,1,0,0,0,0,4
341,今周刊 x 智見金屬產業新未來論壇,2024/12/10,12,10,2,0,8.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
342,今周刊 x 2025原物料投資契機,2024/12/11,12,11,3,0,9.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
343,台北書展測試,2024/12/12,12,12,4,0,3.5,0,進場,0,1,0,0,0,0,0,0,0,3,0,0,0,3
344,台電女籃測試,2024/12/17,12,17,2,0,3.5,3,進場,0,1,0,0,0,0,0,0,0,3,0,0,0,3
345,橄欖球亞青賽進場,2024/12/17,12,17,2,0,4,6,進場,0,0,0,0,0,0,0,1,1,4,0,0,0,6
346,橄欖球亞青賽,2024/12/18,12,18,3,0,8,6,直播,0,0,0,0,0,1,6,1,1,2,0,0,0,11
347,可可達X美敦力,2024/12/20,12,20,5,0,8,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
348,科學人進場,2024/12/20,12,20,5,0,7,3,進場,1,0,0,0,0,0,1,0,0,2,0,1,0,4
349,科學人雜誌,2024/12/21,12,21,6,1,10.5,3,錄製,1,0,0,0,0,1,2,0,0,0,1,1,0,5
350,庫泊 x U19橄欖球亞青賽總決賽,2024/12/22,12,22,7,1,8.5,6,直播,0,0,0,0,0,1,6,1,1,2,0,0,0,11
351,「旅宿業減塑永續元年起跑」記者會,2024/12/24,12,24,2,0,3.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
352,"圓球 x Benq 2024 明基佳世達集團正向力講座
陳冠宇",2024/12/25,12,25,3,0,4.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
353,"圓球 x BenQ 2024 明基佳世達集團正向力講座
高志綱",2024/12/26,12,26,4,0,7.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
354,環境部單機直播,2024/12/30,12,30,1,0,4,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
355,高星x海科 現場單機轉播,2025/1/3,1,3,5,0,5.5,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
356,OPPO,2025/1/4,1,4,6,1,7,2,直播,1,0,0,0,0,0,1,0,0,2,1,0,0,4
357,高星 x 記銘 現場雙機轉播,2025/1/4,1,4,6,1,11,3,錄製,0,1,0,0,0,1,2,1,0,1,0,1,0,6
358,君綺中醫 Line FB雙機行動直播,2025/1/6,1,6,1,0,5.5,3,直播,0,0,0,0,0,1,2,2,1,1,0,0,0,7
359,藝力 x 明基佳世達尾牙進場,2025/1/7,1,7,2,0,1.5,0,進場,0,0,1,0,0,0,0,0,0,1,0,0,2,3
360,馨品 現場雙機錄製,2025/1/8,1,8,3,0,3,2,錄製,0,0,0,0,0,1,2,1,0,0,0,0,0,4
361,藝力 x 明基佳世達尾牙,2025/1/8,1,8,3,0,13.5,0,錄製,0,0,1,0,0,0,0,0,0,1,0,0,2,3
362,拾酷 x LINE 尾牙,2025/1/10,1,10,5,0,10,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
363,高星 x 飛捷 尾牙,2025/1/10,1,10,5,0,5,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
364,DT x AWS 上午主場雙機 下午分場單機*3 進場,2025/1/16,1,16,4,0,2,3,進場,0,0,0,0,1,0,2,3,0,1,0,0,0,6
365,DT x AWS 上午主場雙機 下午分場單機*3,2025/1/17,1,17,5,0,9.5,3,錄製,0,0,0,0,1,1,2,3,0,1,0,0,0,7
366,創立 x Intuitive 進場,2025/1/19,1,19,7,1,8,0,進場,0,1,0,1,0,0,0,1,0,2,0,1,0,4
367,創立 x Intuitive,2025/1/20,1,20,1,0,11,0,錄製,0,1,0,1,0,0,0,1,0,2,0,1,0,4
368,BN X 新商業學校 課程錄製 ＠單機錄製,2025/1/22,1,22,3,0,10,1,錄製,0,0,0,0,0,0,1,1,0,2,0,0,0,4
369,奧美集團尾牙 @ 單機轉播,2025/1/23,1,23,4,0,10,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
370,主內張佩玉姐妹安息禮拜 @ 三機直播+視訊切換進場,2025/1/23,1,23,4,0,1,3,進場,0,1,0,0,0,0,1,1,1,1,0,0,0,4
371,主內張佩玉姐妹安息禮拜 @ 三機直播+視訊切換,2025/1/24,1,24,5,0,2.5,3,直播,0,1,0,0,0,1,3,1,1,1,0,1,0,8
372,台北國際書展 一樓直播 @ 單機直播 （進場）,2025/2/3,2,3,1,0,4.5,1,進場,0,0,0,0,0,0,1,1,1,2,0,0,0,5
373,台北國際書展Day1,2025/2/4,2,4,2,0,6.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
374,台北國際書展 AI字幕進場,2025/2/4,2,4,2,0,4,0,進場,0,1,0,0,0,0,0,1,0,1,0,1,0,3
375,台北國際書展Day2,2025/2/5,2,5,3,0,5.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
376,台北國際書展 AI字幕 Day1,2025/2/5,2,5,3,0,9,0,錄製,0,0,0,0,0,0,0,1,0,0,0,1,0,2
377,台北國際書展Day3,2025/2/6,2,6,4,0,5.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
378,台北國際書展 AI字幕 Day2,2025/2/6,2,6,4,0,5,0,錄製,0,0,0,0,0,0,0,1,0,0,0,1,0,2
379,裕隆新春團拜 進場,2025/2/6,2,6,4,0,4,3,進場,0,0,0,0,0,0,0,0,1,2,0,0,0,3
380,裕隆新春團拜,2025/2/7,2,7,5,0,4,3,錄製,0,0,0,0,0,1,2,1,1,1,0,0,0,6
381,台北國際書展 AI字幕 Day3,2025/2/7,2,7,5,0,6,0,錄製,0,0,0,0,0,0,1,0,0,0,0,1,0,2
382,第三期溫室氣體階段管制目標（草案）公聽會,2025/2/7,2,7,5,0,7,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
383,台北國際書展Day4,2025/2/7,2,7,5,0,9,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
384,台北國際書展Day5,2025/2/8,2,8,6,1,10.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
385,台北國際書展Day6,2025/2/9,2,9,7,1,9.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
386,BN x 高通 現場單機直播,2025/2/11,2,11,2,0,6.5,1,直播,0,0,0,1,0,0,1,2,1,0,0,0,0,4
387,台大人口線上錄製 D1,2025/2/11,2,11,2,0,1,0,錄製,0,0,0,0,0,0,0,0,0,1,0,0,0,1
388,BN x 中華電信 5G成果影片雙機拍攝,2025/2/13,2,13,4,0,8,2,錄製,0,0,0,0,0,0,2,0,0,4,0,0,0,6
389,台大人口線上錄製 D2,2025/2/14,2,14,5,0,1,0,錄製,0,0,0,0,0,0,0,0,0,2,0,0,0,2
390,弈樂科技 現場雙機直播 (FB+YT),2025/2/15,2,15,6,1,8,3,直播,0,0,0,0,0,1,2,1,1,1,0,0,0,6
391,影子電影 x 福智佛教學院 （進場）,2025/2/15,2,15,6,1,8.5,5,進場,0,1,0,0,0,0,3,1,0,0,0,1,0,5
392,影子電影 x 福智佛教學院,2025/2/16,2,16,7,1,9,5,直播,0,0,0,0,0,1,3,1,1,0,0,1,0,7
393,BN x 中華電信 5G成果影片雙機拍攝,2025/2/17,2,17,1,0,8.5,2,錄製,0,0,0,0,0,0,3,0,0,3,0,0,0,6
394,好棒棒－單機視訊直播,2025/2/19,2,19,3,0,3.5,1,直播,0,0,1,0,0,0,1,1,1,0,0,0,1,4
395,今周刊《沸騰的護城河》新書分享會,2025/2/21,2,21,5,0,4.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
396,高雄技術支援,2025/2/22,2,22,6,1,9,4,進場,0,0,0,0,0,0,0,0,0,1,0,0,0,1
397,高雄技術支援,2025/2/23,2,23,7,1,17,4,錄製,0,0,0,0,0,0,0,0,0,1,0,0,0,1
398,Merz x 美國音波 極透+ @單機轉播,2025/2/24,2,24,1,0,5,1,錄製,0,1,0,0,0,0,1,1,0,0,0,1,0,3
399,台大人口線上錄製 D4,2025/2/24,2,24,1,0,1,0,錄製,0,0,0,0,0,0,0,0,0,2,0,0,0,2
400,BN x 中華電信 5G成果影片雙機拍攝					,2025/2/24,2,24,1,0,7,1,錄製,0,0,0,0,0,0,1,0,0,3,0,0,0,4
401,台大人口線上錄製 D5,2025/2/24,2,24,1,0,1.5,0,錄製,0,0,0,0,0,0,0,0,0,2,0,0,0,2
402,AI語音預約 重塑餐飲未來－從服務到經營，迎接科技革命,2025/3/5,3,5,3,0,8,1,錄製,0,1,0,0,0,0,1,1,0,0,0,1,0,3
403,好棒棒 單機錄製,2025/3/8,3,8,6,1,6.5,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
404,今周刊 X AI新北市智慧健康體驗創新日 進場,2025/3/10,3,10,1,0,4,3,進場,0,1,0,0,0,0,2,0,1,0,0,1,0,4
405,今周刊 X AI新北市智慧健康體驗創新日,2025/3/11,3,11,2,0,9,3,直播,0,1,0,0,0,1,2,1,1,0,0,1,0,6
406,環境部 現場單機直播(FB) + 平面攝影,2025/3/13,3,13,4,0,5.5,1,直播,0,0,0,0,0,0,2,1,1,1,0,0,0,5
407,BN x 新商業學校,2025/3/18,3,18,2,0,9,2,直播,0,1,0,0,0,0,2,1,0,1,0,0,0,4
408,今周刊 ESG視訊切換 進場,2025/3/19,3,19,3,0,2,0,進場,0,0,0,0,0,0,0,0,0,2,0,1,0,3
409,利眾x三星 三星 Solve for Tomorrow 教師說明會研習計畫					,2025/3/19,3,19,3,0,5.5,1,直播,0,1,1,0,0,0,1,0,1,0,0,1,2,5
410,今周刊 ESG視訊切換,2025/3/19,3,19,3,0,9.5,0,錄製,0,1,0,0,0,0,0,1,0,0,0,1,0,2
411,盛齊綠能 單機直播,2025/3/21,3,21,5,0,8,1,直播,0,0,0,0,0,0,1,1,1,2,0,0,0,5
412,筆克 AWS,2025/3/26,3,26,3,0,4.5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
413,中小企業 進場,2025/3/26,3,26,3,0,3,1,進場,0,1,0,1,0,0,1,1,0,2,0,1,0,5
414,中小企業正式,2025/3/27,3,27,4,0,6.5,1,錄製,0,1,0,1,0,0,1,1,0,0,0,1,0,3
415,好棒棒 x New horizons:priorities for treatment for intensification in Managing CSPC ＠單機錄製,2025/3/27,3,27,4,0,8.5,1,錄製,0,0,1,0,0,0,1,1,0,0,0,0,1,3
416,沛羽 x 少女前線 2：追放 in Tokyo,2025/4/5,4,5,6,1,10,3,直播,0,0,0,0,0,1,2,1,1,2,0,0,0,7
417,威肯 x 環境部 大甲媽祖遶境 台灣乾淨,2025/4/5,4,5,6,1,9,2,直播,0,0,0,0,0,0,2,1,1,2,0,0,0,6
418,獨家解析川普暴力關稅衝擊-台灣政府及企業因應對策,2024/4/8,4,8,1,0,5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
419,DT 趨勢科技棚內單機錄製,2024/4/9,4,9,2,0,4.5,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
420,弈樂科技 x 包你發,2025/4/9,4,9,3,0,9,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
